subject_id,dose_group,tumor_volume_mm3
M0220,high_100mg,195.2
M0080,low_10mg,362.7
M0071,low_10mg,388.3
M0108,low_10mg,373.9
M0118,low_10mg,491.2
M0016,vehicle,424.6
M0166,mid_30mg,285.5
M0190,high_100mg,222.6
M0148,mid_30mg,326.3
M0196,high_100mg,180.4
M0019,vehicle,485.4
M0208,high_100mg,229.7
M0201,high_100mg,189.1
M0141,mid_30mg,252.4
M0065,low_10mg,521.2
M0103,low_10mg,487.6
M0116,low_10mg,400.7
M0102,low_10mg,512.3
M0119,low_10mg,479.3
M0031,vehicle,505.7
M0113,low_10mg,463.8
M0040,vehicle,469.5
M0070,low_10mg,383.9
M0209,high_100mg,180.0
M0212,high_100mg,260.7
M0128,mid_30mg,401.0
M0235,high_100mg,199.0
M0132,mid_30mg,362.4
M0032,vehicle,467.0
M0043,vehicle,381.0
M0005,vehicle,376.2
M0054,vehicle,518.4
M0206,high_100mg,194.9
M0047,vehicle,536.3
M0126,mid_30mg,310.2
M0057,vehicle,457.1
M0075,low_10mg,374.6
M0170,mid_30mg,397.0
M0153,mid_30mg,279.9
M0010,vehicle,571.5
M0086,low_10mg,471.4
M0211,high_100mg,241.6
M0182,high_100mg,273.4
M0193,high_100mg,161.5
M0003,vehicle,428.4
M0115,low_10mg,430.0
M0210,high_100mg,227.9
M0088,low_10mg,429.6
M0049,vehicle,490.7
M0039,vehicle,548.1
M0059,vehicle,481.8
M0151,mid_30mg,313.1
M0081,low_10mg,419.4
M0078,low_10mg,414.9
M0213,high_100mg,241.7
M0025,vehicle,438.4
M0077,low_10mg,397.9
M0033,vehicle,371.7
M0035,vehicle,518.9
M0058,vehicle,500.5
M0231,high_100mg,295.5
M0159,mid_30mg,436.0
M0185,high_100mg,263.8
M0027,vehicle,446.3
M0048,vehicle,569.0
M0125,mid_30mg,365.9
M0189,high_100mg,281.3
M0110,low_10mg,402.0
M0051,vehicle,544.2
M0161,mid_30mg,328.0
M0204,high_100mg,288.9
M0046,vehicle,403.2
M0228,high_100mg,172.8
M0234,high_100mg,261.4
M0072,low_10mg,468.8
M0093,low_10mg,492.6
M0167,mid_30mg,345.7
M0015,vehicle,506.2
M0194,high_100mg,147.3
M0177,mid_30mg,334.3
M0030,vehicle,551.2
M0114,low_10mg,501.1
M0127,mid_30mg,324.2
M0021,vehicle,398.6
M0140,mid_30mg,313.6
M0146,mid_30mg,311.0
M0198,high_100mg,249.1
M0096,low_10mg,458.2
M0143,mid_30mg,255.7
M0156,mid_30mg,265.4
M0024,vehicle,466.1
M0175,mid_30mg,342.4
M0133,mid_30mg,413.4
M0199,high_100mg,192.7
M0063,low_10mg,316.7
M0120,low_10mg,517.4
M0104,low_10mg,499.4
M0117,low_10mg,350.3
M0097,low_10mg,422.4
M0205,high_100mg,235.3
M0107,low_10mg,425.6
M0184,high_100mg,199.9
M0225,high_100mg,234.1
M0001,vehicle,529.7
M0124,mid_30mg,385.6
M0221,high_100mg,170.8
M0230,high_100mg,233.4
M0105,low_10mg,507.4
M0131,mid_30mg,344.7
M0169,mid_30mg,379.1
M0106,low_10mg,407.6
M0111,low_10mg,538.6
M0092,low_10mg,435.6
M0157,mid_30mg,374.0
M0135,mid_30mg,358.9
M0233,high_100mg,143.6
M0180,mid_30mg,352.5
M0091,low_10mg,343.0
M0216,high_100mg,195.1
M0045,vehicle,398.6
M0226,high_100mg,258.0
M0158,mid_30mg,418.7
M0139,mid_30mg,246.2
M0222,high_100mg,154.6
M0219,high_100mg,184.5
M0144,mid_30mg,303.1
M0188,high_100mg,245.1
M0172,mid_30mg,359.7
M0149,mid_30mg,245.6
M0122,mid_30mg,439.0
M0129,mid_30mg,323.1
M0083,low_10mg,422.4
M0095,low_10mg,494.8
M0013,vehicle,531.3
M0073,low_10mg,355.1
M0066,low_10mg,437.2
M0090,low_10mg,421.1
M0006,vehicle,540.1
M0239,high_100mg,292.6
M0109,low_10mg,479.4
M0087,low_10mg,434.6
M0082,low_10mg,511.5
M0224,high_100mg,285.9
M0207,high_100mg,254.8
M0215,high_100mg,104.5
M0034,vehicle,486.5
M0026,vehicle,439.9
M0123,mid_30mg,373.9
M0074,low_10mg,378.6
M0023,vehicle,501.9
M0168,mid_30mg,330.2
M0181,high_100mg,213.3
M0197,high_100mg,239.2
M0155,mid_30mg,336.0
M0053,vehicle,497.2
M0064,low_10mg,371.4
M0203,high_100mg,107.6
M0099,low_10mg,477.0
M0164,mid_30mg,322.0
M0137,mid_30mg,336.4
M0214,high_100mg,230.7
M0094,low_10mg,431.6
M0152,mid_30mg,512.3
M0017,vehicle,529.4
M0012,vehicle,486.2
M0018,vehicle,435.2
M0227,high_100mg,320.5
M0232,high_100mg,157.7
M0223,high_100mg,263.5
M0036,vehicle,471.8
M0011,vehicle,481.9
M0173,mid_30mg,355.3
M0008,vehicle,478.8
M0037,vehicle,580.5
M0089,low_10mg,386.1
M0042,vehicle,525.1
M0187,high_100mg,208.1
M0028,vehicle,479.1
M0029,vehicle,464.9
M0195,high_100mg,252.2
M0009,vehicle,511.5
M0038,vehicle,582.6
M0218,high_100mg,271.2
M0145,mid_30mg,350.9
M0020,vehicle,488.8
M0150,mid_30mg,396.1
M0160,mid_30mg,363.2
M0101,low_10mg,304.0
M0055,vehicle,421.4
M0079,low_10mg,358.9
M0147,mid_30mg,414.5
M0060,vehicle,576.4
M0186,high_100mg,320.5
M0229,high_100mg,238.5
M0007,vehicle,537.0
M0002,vehicle,464.9
M0179,mid_30mg,312.6
M0136,mid_30mg,307.7
M0200,high_100mg,179.1
M0121,mid_30mg,312.7
M0138,mid_30mg,301.0
M0171,mid_30mg,264.5
M0238,high_100mg,266.8
M0162,mid_30mg,415.7
M0098,low_10mg,339.3
M0062,low_10mg,399.5
M0154,mid_30mg,303.5
M0085,low_10mg,439.1
M0100,low_10mg,433.8
M0050,vehicle,540.2
M0084,low_10mg,344.7
M0240,high_100mg,253.1
M0041,vehicle,609.3
M0052,vehicle,387.2
M0191,high_100mg,255.9
M0061,low_10mg,423.9
M0067,low_10mg,470.0
M0044,vehicle,564.2
M0004,vehicle,457.1
M0130,mid_30mg,344.9
M0022,vehicle,452.7
M0056,vehicle,522.7
M0165,mid_30mg,303.2
M0076,low_10mg,355.1
M0236,high_100mg,252.6
M0134,mid_30mg,294.8
M0202,high_100mg,309.8
M0176,mid_30mg,416.4
M0112,low_10mg,374.1
M0174,mid_30mg,310.5
M0142,mid_30mg,424.0
M0163,mid_30mg,409.3
M0069,low_10mg,329.9
M0014,vehicle,443.5
M0183,high_100mg,170.8
M0068,low_10mg,464.7
M0217,high_100mg,265.1
M0178,mid_30mg,330.6
M0237,high_100mg,274.4
M0192,high_100mg,261.7
