assay_id,compound_id,compound_name,smiles,target_gene,dose,mol_weight,logp,pct_inhibition
R0001,C001,Aspirin,CC(=O)Oc1ccccc1C(=O)O,PTGS2,25 mg,361.35,-1.32,22.3
R0002,C001,Aspirin,CC(=O)Oc1ccccc1C(=O)O,PTGS2,2.5 mg/kg,361.35,-1.32,10.2
R0003,C001,Aspirin,CC(=O)Oc1ccccc1C(=O)O,PTGS2,2.5 mg/kg,361.35,-1.32,89.2
R0004,C001,Aspirin,CC(=O)Oc1ccccc1C(=O)O,PTGS2,10 mg,361.35,-1.32,59.0
R0005,C001,Aspirin,CC(=O)Oc1ccccc1C(=O)O,PTGS2,10 mg,361.35,-1.32,3.0
R0006,C001,Aspirin,CC(=O)Oc1ccccc1C(=O)O,PTGS2,25 mg,361.35,-1.32,23.3
R0007,C001,Aspirin,CC(=O)Oc1ccccc1C(=O)O,PTGS2,5 mg/kg,361.35,-1.32,2.7
R0008,C001,Aspirin,CC(=O)Oc1ccccc1C(=O)O,PTGS2,25 mg,361.35,-1.32,71.6
R0009,C001,Aspirin,CC(=O)Oc1ccccc1C(=O)O,PTGS2,2.5 mg/kg,361.35,-1.32,54.5
R0010,C001,Aspirin,CC(=O)Oc1ccccc1C(=O)O,PTGS2,25 mg,361.35,-1.32,44.9
R0011,C001,Aspirin,CC(=O)Oc1ccccc1C(=O)O,PTGS2,50 mg,361.35,-1.32,80.9
R0012,C001,Aspirin,CC(=O)Oc1ccccc1C(=O)O,PTGS2,10 mg,361.35,-1.32,75.9
R0013,C002,Caffeine,Cn1cnc2c1c(=O)n(C)c(=O)n2C,ADORA2A,25 mg,150.25,1.46,21.5
R0014,C002,Caffeine,Cn1cnc2c1c(=O)n(C)c(=O)n2C,ADORA2A,0.5 mg/kg,150.25,1.46,33.7
R0015,C002,Caffeine,Cn1cnc2c1c(=O)n(C)c(=O)n2C,ADORA2A,10 mg,150.25,1.46,38.0
R0016,C002,Caffeine,Cn1cnc2c1c(=O)n(C)c(=O)n2C,ADORA2A,50 mg,150.25,1.46,84.7
R0017,C002,Caffeine,Cn1cnc2c1c(=O)n(C)c(=O)n2C,ADORA2A,5 mg/kg,150.25,1.46,26.5
R0018,C002,Caffeine,Cn1cnc2c1c(=O)n(C)c(=O)n2C,ADORA2A,10 mg,150.25,1.46,73.0
R0019,C002,Caffeine,Cn1cnc2c1c(=O)n(C)c(=O)n2C,ADORA2A,5 mg/kg,150.25,1.46,12.5
R0020,C002,Caffeine,Cn1cnc2c1c(=O)n(C)c(=O)n2C,ADORA2A,100 mg,150.25,1.46,7.9
R0021,C002,Caffeine,Cn1cnc2c1c(=O)n(C)c(=O)n2C,ADORA2A,50 mg,150.25,1.46,82.9
R0022,C002,Caffeine,Cn1cnc2c1c(=O)n(C)c(=O)n2C,ADORA2A,5 mg/kg,150.25,1.46,88.5
R0023,C002,Caffeine,Cn1cnc2c1c(=O)n(C)c(=O)n2C,ADORA2A,50 mg,150.25,1.46,57.7
R0024,C002,Caffeine,Cn1cnc2c1c(=O)n(C)c(=O)n2C,ADORA2A,2.5 mg/kg,150.25,1.46,7.0
R0025,C003,Benzene,C1=CC=CC=C1,CYP2E1,0.5 mg/kg,370.96,3.91,23.3
R0026,C003,Benzene,C1=CC=CC=C1,CYP2E1,10 mg,370.96,3.91,38.0
R0027,C003,Benzene,C1=CC=CC=C1,CYP2E1,100 mg,370.96,3.91,63.6
R0028,C003,Benzene,C1=CC=CC=C1,CYP2E1,50 mg,370.96,3.91,16.3
R0029,C003,Benzene,C1=CC=CC=C1,CYP2E1,50 mg,370.96,3.91,21.0
R0030,C003,Benzene,C1=CC=CC=C1,CYP2E1,50 mg,370.96,3.91,70.2
R0031,C003,Benzene,C1=CC=CC=C1,CYP2E1,2.5 mg/kg,370.96,3.91,64.8
R0032,C003,Benzene,C1=CC=CC=C1,CYP2E1,5 mg/kg,370.96,3.91,63.5
R0033,C003,Benzene,C1=CC=CC=C1,CYP2E1,5 mg/kg,370.96,3.91,72.9
R0034,C003,Benzene,C1=CC=CC=C1,CYP2E1,25 mg,370.96,3.91,46.2
R0035,C004,Ethanol,OCC,ADH1B,5 mg/kg,198.78,4.98,22.0
R0036,C004,Ethanol,OCC,ADH1B,50 mg,198.78,4.98,84.3
R0037,C004,Ethanol,OCC,ADH1B,0.5 mg/kg,198.78,4.98,5.6
R0038,C004,Ethanol,OCC,ADH1B,0.5 mg/kg,198.78,4.98,3.2
R0039,C004,Ethanol,OCC,ADH1B,50 mg,198.78,4.98,40.1
R0040,C004,Ethanol,OCC,ADH1B,10 mg,198.78,4.98,21.1
R0041,C004,Ethanol,OCC,ADH1B,5 mg/kg,198.78,4.98,87.6
R0042,C004,Ethanol,OCC,ADH1B,50 mg,198.78,4.98,21.3
R0043,C004,Ethanol,OCC,ADH1B,100 mg,198.78,4.98,39.6
R0044,C004,Ethanol,OCC,ADH1B,2.5 mg/kg,198.78,4.98,45.9
R0045,C004,Ethanol,OCC,ADH1B,50 mg,198.78,4.98,14.0
R0046,C004,Ethanol,OCC,ADH1B,2.5 mg/kg,198.78,4.98,56.1
R0047,C004,Ethanol,OCC,ADH1B,50 mg,198.78,4.98,74.7
R0048,C004,Ethanol,OCC,ADH1B,100 mg,198.78,4.98,89.8
R0049,C004,Ethanol,OCC,ADH1B,100 mg,198.78,4.98,36.2
R0050,C005,Ibuprofen,CC(C)Cc1ccc(C(C)C(=O)O)cc1,PTGS1,10 mg,518.82,-0.53,75.6
R0051,C005,Ibuprofen,CC(C)Cc1ccc(C(C)C(=O)O)cc1,PTGS1,0.5 mg/kg,518.82,-0.53,11.0
R0052,C005,Ibuprofen,CC(C)Cc1ccc(C(C)C(=O)O)cc1,PTGS1,2.5 mg/kg,518.82,-0.53,16.0
R0053,C005,Ibuprofen,CC(C)Cc1ccc(C(C)C(=O)O)cc1,PTGS1,2.5 mg/kg,518.82,-0.53,42.2
R0054,C005,Ibuprofen,CC(C)Cc1ccc(C(C)C(=O)O)cc1,PTGS1,10 mg,518.82,-0.53,38.5
R0055,C005,Ibuprofen,CC(C)Cc1ccc(C(C)C(=O)O)cc1,PTGS1,5 mg/kg,518.82,-0.53,99.6
R0056,C005,Ibuprofen,CC(C)Cc1ccc(C(C)C(=O)O)cc1,PTGS1,5 mg/kg,518.82,-0.53,25.1
R0057,C005,Ibuprofen,CC(C)Cc1ccc(C(C)C(=O)O)cc1,PTGS1,5 mg/kg,518.82,-0.53,86.1
R0058,C005,Ibuprofen,CC(C)Cc1ccc(C(C)C(=O)O)cc1,PTGS1,10 mg,518.82,-0.53,68.0
R0059,C005,Ibuprofen,CC(C)Cc1ccc(C(C)C(=O)O)cc1,PTGS1,10 mg,518.82,-0.53,68.2
R0060,C005,Ibuprofen,CC(C)Cc1ccc(C(C)C(=O)O)cc1,PTGS1,5 mg/kg,518.82,-0.53,75.1
R0061,C005,Ibuprofen,CC(C)Cc1ccc(C(C)C(=O)O)cc1,PTGS1,0.5 mg/kg,518.82,-0.53,64.1
R0062,C005,Ibuprofen,CC(C)Cc1ccc(C(C)C(=O)O)cc1,PTGS1,10 mg,518.82,-0.53,29.4
R0063,C006,Paracetamol,CC(=O)Nc1ccc(O)cc1,PTGS2,2.5 mg/kg,149.59,-1.48,26.3
R0064,C006,Paracetamol,CC(=O)Nc1ccc(O)cc1,PTGS2,5 mg/kg,149.59,-1.48,76.2
R0065,C006,Paracetamol,CC(=O)Nc1ccc(O)cc1,PTGS2,5 mg/kg,149.59,-1.48,91.3
R0066,C006,Paracetamol,CC(=O)Nc1ccc(O)cc1,PTGS2,0.5 mg/kg,149.59,-1.48,62.5
R0067,C006,Paracetamol,CC(=O)Nc1ccc(O)cc1,PTGS2,0.5 mg/kg,149.59,-1.48,63.9
R0068,C006,Paracetamol,CC(=O)Nc1ccc(O)cc1,PTGS2,5 mg/kg,149.59,-1.48,19.9
R0069,C006,Paracetamol,CC(=O)Nc1ccc(O)cc1,PTGS2,50 mg,149.59,-1.48,76.3
R0070,C006,Paracetamol,CC(=O)Nc1ccc(O)cc1,PTGS2,5 mg/kg,149.59,-1.48,95.3
R0071,C006,Paracetamol,CC(=O)Nc1ccc(O)cc1,PTGS2,5 mg/kg,149.59,-1.48,91.8
R0072,C006,Paracetamol,CC(=O)Nc1ccc(O)cc1,PTGS2,5 mg/kg,149.59,-1.48,32.4
R0073,C006,Paracetamol,CC(=O)Nc1ccc(O)cc1,PTGS2,10 mg,149.59,-1.48,11.2
R0074,C006,Paracetamol,CC(=O)Nc1ccc(O)cc1,PTGS2,50 mg,149.59,-1.48,87.9
R0075,C006,Paracetamol,CC(=O)Nc1ccc(O)cc1,PTGS2,0.5 mg/kg,149.59,-1.48,80.7
R0076,C006,Paracetamol,CC(=O)Nc1ccc(O)cc1,PTGS2,25 mg,149.59,-1.48,5.8
R0077,C006,Paracetamol,CC(=O)Nc1ccc(O)cc1,PTGS2,5 mg/kg,149.59,-1.48,94.7
R0078,C007,Toluene,C1=CC=CC=C1C,CYP2E1,0.5 mg/kg,117.69,1.9,53.3
R0079,C007,Toluene,C1=CC=CC=C1C,CYP2E1,25 mg,117.69,1.9,12.8
R0080,C007,Toluene,C1=CC=CC=C1C,CYP2E1,100 mg,117.69,1.9,94.7
R0081,C007,Toluene,C1=CC=CC=C1C,CYP2E1,25 mg,117.69,1.9,26.5
R0082,C007,Toluene,C1=CC=CC=C1C,CYP2E1,0.5 mg/kg,117.69,1.9,60.7
R0083,C007,Toluene,C1=CC=CC=C1C,CYP2E1,25 mg,117.69,1.9,92.9
R0084,C007,Toluene,C1=CC=CC=C1C,CYP2E1,0.5 mg/kg,117.69,1.9,73.0
R0085,C007,Toluene,C1=CC=CC=C1C,CYP2E1,25 mg,117.69,1.9,71.3
R0086,C007,Toluene,C1=CC=CC=C1C,CYP2E1,100 mg,117.69,1.9,99.5
R0087,C007,Toluene,C1=CC=CC=C1C,CYP2E1,2.5 mg/kg,117.69,1.9,37.3
R0088,C008,Phenol,Oc1ccccc1,CYP2E1,25 mg,475.83,1.66,6.4
R0089,C008,Phenol,Oc1ccccc1,CYP2E1,10 mg,475.83,1.66,58.8
R0090,C008,Phenol,Oc1ccccc1,CYP2E1,25 mg,475.83,1.66,58.8
R0091,C008,Phenol,Oc1ccccc1,CYP2E1,10 mg,475.83,1.66,7.1
R0092,C008,Phenol,Oc1ccccc1,CYP2E1,2.5 mg/kg,475.83,1.66,5.9
R0093,C008,Phenol,Oc1ccccc1,CYP2E1,10 mg,475.83,1.66,90.5
R0094,C008,Phenol,Oc1ccccc1,CYP2E1,0.5 mg/kg,475.83,1.66,33.0
