compound,concentration_uM,replicate,viability_pct
Aspirin,0.01,1,93.7
Aspirin,0.01,2,99.1
Aspirin,0.01,3,103.2
Aspirin,0.03,1,91.9
Aspirin,0.03,2,91.9
Aspirin,0.03,3,101.4
Aspirin,0.1,1,89.8
Aspirin,0.1,2,96.2
Aspirin,0.1,3,91.7
Aspirin,0.3,1,77.9
Aspirin,0.3,2,71.4
Aspirin,0.3,3,71.9
Aspirin,1.0,1,51.9
Aspirin,1.0,2,50.8
Aspirin,1.0,3,47.8
Aspirin,3.0,1,22.1
Aspirin,3.0,2,27.0
Aspirin,3.0,3,22.8
Aspirin,10.0,1,6.3
Aspirin,10.0,2,4.7
Aspirin,10.0,3,10.8
Aspirin,30.0,1,2.7
Aspirin,30.0,2,8.4
Aspirin,30.0,3,8.5
Aspirin,100.0,1,0.0
Aspirin,100.0,2,2.4
Aspirin,100.0,3,1.7
Caffeine,0.01,1,90.1
Caffeine,0.01,2,91.8
Caffeine,0.01,3,92.4
Caffeine,0.03,1,92.2
Caffeine,0.03,2,91.5
Caffeine,0.03,3,91.5
Caffeine,0.1,1,65.1
Caffeine,0.1,2,62.6
Caffeine,0.1,3,70.7
Caffeine,0.3,1,42.4
Caffeine,0.3,2,41.3
Caffeine,0.3,3,45.8
Caffeine,1.0,1,18.5
Caffeine,1.0,2,10.8
Caffeine,1.0,3,20.5
Caffeine,3.0,1,3.8
Caffeine,3.0,2,8.2
Caffeine,3.0,3,11.5
Caffeine,10.0,1,0.0
Caffeine,10.0,2,0.0
Caffeine,10.0,3,0.0
Caffeine,30.0,1,1.3
Caffeine,30.0,2,0.0
Caffeine,30.0,3,1.9
Caffeine,100.0,1,2.8
Caffeine,100.0,2,0.0
Caffeine,100.0,3,1.8
Benzene,0.01,1,99.7
Benzene,0.01,2,96.7
Benzene,0.01,3,104.6
Benzene,0.03,1,93.6
Benzene,0.03,2,100.6
Benzene,0.03,3,103.0
Benzene,0.1,1,91.3
Benzene,0.1,2,94.8
Benzene,0.1,3,92.3
Benzene,0.3,1,96.7
Benzene,0.3,2,86.8
Benzene,0.3,3,90.2
Benzene,1.0,1,77.5
Benzene,1.0,2,75.7
Benzene,1.0,3,70.3
Benzene,3.0,1,55.3
Benzene,3.0,2,52.3
Benzene,3.0,3,45.8
Benzene,10.0,1,17.5
Benzene,10.0,2,21.5
Benzene,10.0,3,23.7
Benzene,30.0,1,8.2
Benzene,30.0,2,3.6
Benzene,30.0,3,7.5
Benzene,100.0,1,8.1
Benzene,100.0,2,8.6
Benzene,100.0,3,0.0
Ethanol,0.01,1,96.2
Ethanol,0.01,2,96.7
Ethanol,0.01,3,94.9
Ethanol,0.03,1,102.4
Ethanol,0.03,2,103.6
Ethanol,0.03,3,97.9
Ethanol,0.1,1,98.2
Ethanol,0.1,2,92.6
Ethanol,0.1,3,101.9
Ethanol,0.3,1,95.3
Ethanol,0.3,2,96.6
Ethanol,0.3,3,94.6
Ethanol,1.0,1,79.6
Ethanol,1.0,2,69.3
Ethanol,1.0,3,77.8
Ethanol,3.0,1,48.0
Ethanol,3.0,2,55.2
Ethanol,3.0,3,53.6
Ethanol,10.0,1,27.4
Ethanol,10.0,2,26.8
Ethanol,10.0,3,20.3
Ethanol,30.0,1,12.5
Ethanol,30.0,2,4.4
Ethanol,30.0,3,13.6
Ethanol,100.0,1,7.2
Ethanol,100.0,2,0.0
Ethanol,100.0,3,6.7
Ibuprofen,0.01,1,98.1
Ibuprofen,0.01,2,103.7
Ibuprofen,0.01,3,104.3
Ibuprofen,0.03,1,96.3
Ibuprofen,0.03,2,101.5
Ibuprofen,0.03,3,98.4
Ibuprofen,0.1,1,96.1
Ibuprofen,0.1,2,93.6
Ibuprofen,0.1,3,102.0
Ibuprofen,0.3,1,94.6
Ibuprofen,0.3,2,96.5
Ibuprofen,0.3,3,98.5
Ibuprofen,1.0,1,93.0
Ibuprofen,1.0,2,86.9
Ibuprofen,1.0,3,83.2
Ibuprofen,3.0,1,77.3
Ibuprofen,3.0,2,69.9
Ibuprofen,3.0,3,73.7
Ibuprofen,10.0,1,50.2
Ibuprofen,10.0,2,38.9
Ibuprofen,10.0,3,45.6
Ibuprofen,30.0,1,19.2
Ibuprofen,30.0,2,24.5
Ibuprofen,30.0,3,20.3
Ibuprofen,100.0,1,13.2
Ibuprofen,100.0,2,2.8
Ibuprofen,100.0,3,12.2
Paracetamol,0.01,1,96.1
Paracetamol,0.01,2,101.5
Paracetamol,0.01,3,93.0
Paracetamol,0.03,1,102.2
Paracetamol,0.03,2,97.5
Paracetamol,0.03,3,99.7
Paracetamol,0.1,1,93.8
Paracetamol,0.1,2,93.0
Paracetamol,0.1,3,89.3
Paracetamol,0.3,1,71.8
Paracetamol,0.3,2,78.9
Paracetamol,0.3,3,74.9
Paracetamol,1.0,1,47.8
Paracetamol,1.0,2,54.2
Paracetamol,1.0,3,52.6
Paracetamol,3.0,1,22.6
Paracetamol,3.0,2,22.7
Paracetamol,3.0,3,23.9
Paracetamol,10.0,1,7.9
Paracetamol,10.0,2,6.6
Paracetamol,10.0,3,4.6
Paracetamol,30.0,1,2.3
Paracetamol,30.0,2,8.5
Paracetamol,30.0,3,5.4
Paracetamol,100.0,1,5.8
Paracetamol,100.0,2,2.4
Paracetamol,100.0,3,0.0
