record_id,zip_code,decimal,scientific,flag,note,amount
1,00001,1.0,1e3,True,hello,"$1,000.00"
2,00002,1.00,2e3,FALSE,hello,"$2,000.00"
3,00003,1.0,3E3,FALSE,trailing space ,"$3,000.00"
4,00004,1.00,4e3,True, leading,"$4,000.00"
5,00005,1.0,5e3,True,hello,"$5,000.00"
6,00006,1.00,6E3,FALSE, leading,"$6,000.00"
7,00007,1.0,7e3,false,trailing space ,"$7,000.00"
8,00008,1.00,8e3,FALSE, leading,"$8,000.00"
9,00009,1.0,9E3,True, leading,"$9,000.00"
10,00010,1.00,10e3,false,,"$10,000.00"
11,00011,1.0,11e3,True,"has ""quotes""","$11,000.00"
12,00012,1.00,12E3,True,"has ""quotes""","$12,000.00"
13,00013,1.0,13e3,FALSE,,"$13,000.00"
14,00014,1.00,14e3,FALSE,trailing space ,"$14,000.00"
15,00015,1.0,15E3,false,trailing space ,"$15,000.00"
16,00016,1.00,16e3,FALSE,"has ""quotes""","$16,000.00"
17,00017,1.0,17e3,TRUE,"a, b, c","$17,000.00"
18,00018,1.00,18E3,TRUE,"has ""quotes""","$18,000.00"
19,00019,1.0,19e3,FALSE,,"$19,000.00"
20,00020,1.00,20e3,false,"a, b, c","$20,000.00"
21,00021,1.0,21E3,FALSE,hello,"$21,000.00"
22,00022,1.00,22e3,True,,"$22,000.00"
23,00023,1.0,23e3,false, leading,"$23,000.00"
24,00024,1.00,24E3,TRUE,"has ""quotes""","$24,000.00"
25,00025,1.0,25e3,FALSE, leading,"$25,000.00"
26,00026,1.00,26e3,True,,"$26,000.00"
27,00027,1.0,27E3,FALSE,trailing space ,"$27,000.00"
28,00028,1.00,28e3,FALSE, leading,"$28,000.00"
29,00029,1.0,29e3,True,hello,"$29,000.00"
30,00030,1.00,30E3,false,"has ""quotes""","$30,000.00"
31,00031,1.0,31e3,True,,"$31,000.00"
32,00032,1.00,32e3,TRUE,trailing space ,"$32,000.00"
33,00033,1.0,33E3,false,"has ""quotes""","$33,000.00"
34,00034,1.00,34e3,false,,"$34,000.00"
35,00035,1.0,35e3,FALSE,,"$35,000.00"
36,00036,1.00,36E3,FALSE,,"$36,000.00"
37,00037,1.0,37e3,false,hello,"$37,000.00"
38,00038,1.00,38e3,false,,"$38,000.00"
39,00039,1.0,39E3,True,"has ""quotes""","$39,000.00"
40,00040,1.00,40e3,TRUE,"has ""quotes""","$40,000.00"
41,00041,1.0,41e3,FALSE,,"$41,000.00"
42,00042,1.00,42E3,True,trailing space ,"$42,000.00"
43,00043,1.0,43e3,True,trailing space ,"$43,000.00"
44,00044,1.00,44e3,True, leading,"$44,000.00"
45,00045,1.0,45E3,TRUE,trailing space ,"$45,000.00"
46,00046,1.00,46e3,false,"a, b, c","$46,000.00"
47,00047,1.0,47e3,TRUE, leading,"$47,000.00"
48,00048,1.00,48E3,TRUE,,"$48,000.00"
49,00049,1.0,49e3,TRUE, leading,"$49,000.00"
50,00050,1.00,50e3,false,"has ""quotes""","$50,000.00"
51,00051,1.0,51E3,TRUE, leading,"$51,000.00"
52,00052,1.00,52e3,TRUE,trailing space ,"$52,000.00"
53,00053,1.0,53e3,True,"has ""quotes""","$53,000.00"
54,00054,1.00,54E3,True,"a, b, c","$54,000.00"
55,00055,1.0,55e3,FALSE, leading,"$55,000.00"
56,00056,1.00,56e3,True,"has ""quotes""","$56,000.00"
57,00057,1.0,57E3,True,"has ""quotes""","$57,000.00"
58,00058,1.00,58e3,false,,"$58,000.00"
59,00059,1.0,59e3,True,trailing space ,"$59,000.00"
60,00060,1.00,60E3,True,hello,"$60,000.00"
61,00061,1.0,61e3,TRUE,hello,"$61,000.00"
62,00062,1.00,62e3,TRUE,trailing space ,"$62,000.00"
63,00063,1.0,63E3,FALSE,,"$63,000.00"
64,00064,1.00,64e3,TRUE,"a, b, c","$64,000.00"
65,00065,1.0,65e3,false,"has ""quotes""","$65,000.00"
