sample_id,gene,condition,log2_expression
S001,EGFR,control,3.092
S001,TP53,control,5.243
S001,BRCA1,control,7.199
S001,ABL1,control,4.04
S001,KRAS,control,4.539
S001,PTGS2,control,6.903
S002,EGFR,treated,4.927
S002,TP53,treated,7.145
S002,BRCA1,treated,6.912
S002,ABL1,treated,8.849
S002,KRAS,treated,8.122
S002,PTGS2,treated,7.165
S003,EGFR,control,8.61
S003,TP53,control,5.977
S003,BRCA1,control,7.994
S003,ABL1,control,6.622
S003,KRAS,control,3.614
S003,PTGS2,control,2.934
S004,EGFR,treated,8.631
S004,TP53,treated,10.742
S004,BRCA1,treated,7.745
S004,ABL1,treated,9.91
S004,KRAS,treated,7.902
S004,PTGS2,treated,8.715
S005,EGFR,control,4.937
S005,TP53,control,3.892
S005,BRCA1,control,8.092
S005,ABL1,control,6.021
S005,KRAS,control,5.166
S005,PTGS2,control,6.079
S006,EGFR,treated,9.086
S006,TP53,treated,8.791
S006,BRCA1,treated,5.766
S006,ABL1,treated,8.391
S006,KRAS,treated,10.518
S006,PTGS2,treated,10.947
S007,EGFR,control,5.871
S007,TP53,control,4.878
S007,BRCA1,control,3.228
S007,ABL1,control,2.465
S007,KRAS,control,2.85
S007,PTGS2,control,5.331
S008,EGFR,treated,8.046
S008,TP53,treated,6.766
S008,BRCA1,treated,7.884
S008,ABL1,treated,8.511
S008,KRAS,treated,8.256
S008,PTGS2,treated,5.835
S009,EGFR,control,5.274
S009,TP53,control,7.442
S009,BRCA1,control,5.244
S009,ABL1,control,4.666
S009,KRAS,control,6.374
S009,PTGS2,control,4.261
S010,EGFR,treated,9.829
S010,TP53,treated,5.02
S010,BRCA1,treated,10.779
S010,ABL1,treated,8.646
S010,KRAS,treated,8.228
S010,PTGS2,treated,7.064
S011,EGFR,control,4.981
S011,TP53,control,1.957
S011,BRCA1,control,4.898
S011,ABL1,control,5.402
S011,KRAS,control,4.39
S011,PTGS2,control,6.945
S012,EGFR,treated,9.22
S012,TP53,treated,7.411
S012,BRCA1,treated,5.94
S012,ABL1,treated,8.608
S012,KRAS,treated,4.89
S012,PTGS2,treated,7.521
S013,EGFR,control,6.182
S013,TP53,control,6.327
S013,BRCA1,control,4.61
S013,ABL1,control,7.701
S013,KRAS,control,3.82
S013,PTGS2,control,7.125
S014,EGFR,treated,6.575
S014,TP53,treated,6.083
S014,BRCA1,treated,9.355
S014,ABL1,treated,8.12
S014,KRAS,treated,7.373
S014,PTGS2,treated,10.158
S015,EGFR,control,5.721
S015,TP53,control,6.931
S015,BRCA1,control,4.016
S015,ABL1,control,3.829
S015,KRAS,control,3.798
S015,PTGS2,control,5.587
S016,EGFR,treated,7.455
S016,TP53,treated,8.392
S016,BRCA1,treated,9.698
S016,ABL1,treated,7.804
S016,KRAS,treated,8.162
S016,PTGS2,treated,7.931
S017,EGFR,control,3.785
S017,TP53,control,6.09
S017,BRCA1,control,4.857
S017,ABL1,control,6.334
S017,KRAS,control,3.3
S017,PTGS2,control,4.031
S018,EGFR,treated,7.897
S018,TP53,treated,9.412
S018,BRCA1,treated,8.191
S018,ABL1,treated,10.219
S018,KRAS,treated,7.136
S018,PTGS2,treated,8.191
S019,EGFR,control,3.672
S019,TP53,control,1.873
S019,BRCA1,control,6.958
S019,ABL1,control,3.334
S019,KRAS,control,4.216
S019,PTGS2,control,3.008
S020,EGFR,treated,9.337
S020,TP53,treated,7.477
S020,BRCA1,treated,8.686
S020,ABL1,treated,11.705
S020,KRAS,treated,6.363
S020,PTGS2,treated,8.226
