measurement_id,group,x,y
M00001,beta,39.511,78.884
M00002,gamma,21.987,18.059
M00003,gamma,39.099,64.809
M00004,gamma,14.408,1.526
M00005,gamma,88.698,173.198
M00006,gamma,37.313,51.958
M00007,alpha,55.352,93.844
M00008,alpha,57.272,101.002
M00009,beta,53.715,121.355
M00010,gamma,74.143,120.112
M00011,gamma,34.385,37.14
M00012,gamma,14.246,24.664
M00013,alpha,22.079,43.747
M00014,alpha,67.098,113.98
M00015,gamma,85.225,159.972
M00016,gamma,46.127,50.639
M00017,gamma,7.314,-1.142
M00018,alpha,72.559,122.571
M00019,beta,95.154,175.117
M00020,alpha,10.005,32.004
M00021,gamma,6.981,7.377
M00022,beta,61.634,138.92
M00023,beta,69.346,148.757
M00024,beta,95.866,200.253
M00025,alpha,0.483,1.073
M00026,gamma,64.084,113.841
M00027,beta,84.011,179.18
M00028,beta,46.285,112.884
M00029,beta,77.477,148.717
M00030,gamma,60.663,99.664
M00031,beta,85.871,179.082
M00032,beta,73.354,158.538
M00033,gamma,7.646,5.834
M00034,gamma,63.163,104.755
M00035,gamma,57.89,95.201
M00036,alpha,55.159,91.046
M00037,gamma,89.399,133.978
M00038,alpha,36.582,61.535
M00039,alpha,89.144,140.439
M00040,alpha,46.47,71.011
M00041,gamma,9.055,5.15
M00042,alpha,84.798,153.958
M00043,gamma,68.416,113.448
M00044,alpha,17.915,25.654
M00045,gamma,65.941,127.875
M00046,beta,93.918,180.11
M00047,alpha,21.882,35.077
M00048,beta,23.402,57.459
M00049,gamma,20.677,36.724
M00050,beta,91.79,173.998
M00051,alpha,3.99,3.848
M00052,gamma,63.357,99.542
M00053,beta,83.487,164.019
M00054,alpha,37.666,82.792
M00055,beta,36.53,67.743
M00056,gamma,25.159,16.566
M00057,alpha,51.637,78.406
M00058,beta,79.266,176.944
M00059,gamma,0.66,0.719
M00060,alpha,7.709,5.153
M00061,gamma,28.081,44.665
M00062,gamma,71.73,124.801
M00063,alpha,66.111,109.765
M00064,alpha,48.152,92.165
M00065,beta,47.902,86.643
M00066,beta,2.245,9.686
M00067,alpha,12.789,17.621
M00068,gamma,3.919,-6.485
M00069,gamma,14.687,30.053
M00070,gamma,95.824,185.956
M00071,gamma,96.924,148.476
M00072,gamma,66.175,90.367
M00073,beta,94.725,188.92
M00074,beta,86.73,187.144
M00075,alpha,21.936,33.845
M00076,gamma,82.045,141.222
M00077,alpha,62.321,104.923
M00078,gamma,34.267,51.187
M00079,beta,59.653,132.996
M00080,alpha,10.857,24.446
M00081,alpha,52.271,109.434
M00082,alpha,60.551,99.163
M00083,alpha,47.587,83.113
M00084,gamma,50.333,78.364
M00085,alpha,9.319,2.833
M00086,gamma,82.752,117.169
M00087,gamma,64.923,95.429
M00088,alpha,69.764,123.982
M00089,beta,22.949,63.146
M00090,beta,35.052,58.041
M00091,gamma,90.786,161.604
M00092,beta,13.388,25.677
M00093,beta,76.586,157.096
M00094,gamma,87.677,145.13
M00095,beta,25.78,81.192
M00096,alpha,57.799,104.718
M00097,alpha,51.976,87.801
M00098,beta,40.885,94.346
