plate_id,well_row,well_col,compound_id,readout
P1,A,1,C002,95.8
P1,A,2,C003,94.5
P1,A,3,C004,94.3
P1,A,4,C005,89.2
P1,A,5,C006,88.6
P1,A,6,C007,82.8
P1,A,7,C008,81.0
P1,A,8,C009,71.5
P1,A,9,C010,70.3
P1,A,10,C011,67.9
P1,A,11,C012,62.8
P1,A,12,C001,61.3
P1,B,1,C002,87.0
P1,B,2,C003,85.8
P1,B,3,C004,86.4
P1,B,4,C005,80.6
P1,B,5,C006,77.7
P1,B,6,C007,73.1
P1,B,7,C008,70.7
P1,B,8,C009,74.4
P1,B,9,C010,68.5
P1,B,10,C011,65.1
P1,B,11,C012,57.7
P1,B,12,C001,60.3
P1,C,1,C002,81.6
P1,C,2,C003,80.8
P1,C,3,C004,83.9
P1,C,4,C005,77.4
P1,C,5,C006,73.6
P1,C,6,C007,71.8
P1,C,7,C008,70.4
P1,C,8,C009,66.8
P1,C,9,C010,58.3
P1,C,10,C011,53.3
P1,C,11,C012,53.2
P1,C,12,C001,49.7
P1,D,1,C002,76.1
P1,D,2,C003,80.4
P1,D,3,C004,76.8
P1,D,4,C005,68.1
P1,D,5,C006,68.6
P1,D,6,C007,63.0
P1,D,7,C008,65.1
P1,D,8,C009,57.6
P1,D,9,C010,52.6
P1,D,10,C011,49.5
P1,D,11,C012,49.6
P1,D,12,C001,43.6
P1,E,1,C002,73.8
P1,E,2,C003,74.0
P1,E,3,C004,66.0
P1,E,4,C005,61.2
P1,E,5,C006,66.0
P1,E,6,C007,58.1
P1,E,7,C008,50.9
P1,E,8,C009,47.5
P1,E,9,C010,45.1
P1,E,10,C011,47.3
P1,E,11,C012,45.9
P1,E,12,C001,39.2
P1,F,1,C002,62.6
P1,F,2,C003,62.8
P1,F,3,C004,66.0
P1,F,4,C005,58.3
P1,F,5,C006,59.7
P1,F,6,C007,55.6
P1,F,7,C008,44.1
P1,F,8,C009,48.2
P1,F,9,C010,44.8
P1,F,10,C011,40.4
P1,F,11,C012,34.7
P1,F,12,C001,35.4
P1,G,1,C002,57.1
P1,G,2,C003,57.3
P1,G,3,C004,54.5
P1,G,4,C005,56.5
P1,G,5,C006,52.8
P1,G,6,C007,43.6
P1,G,7,C008,43.0
P1,G,8,C009,36.8
P1,G,9,C010,41.1
P1,G,10,C011,37.7
P1,G,11,C012,29.0
P1,G,12,C001,29.4
P1,H,1,C002,56.1
P1,H,2,C003,48.5
P1,H,3,C004,51.6
P1,H,4,C005,46.4
P1,H,5,C006,45.8
P1,H,6,C007,40.3
P1,H,7,C008,32.0
P1,H,8,C009,32.2
P1,H,9,C010,26.2
P1,H,10,C011,32.3
P1,H,11,C012,28.8
P1,H,12,C001,25.3
P2,A,1,C002,95.1
P2,A,2,C003,89.6
P2,A,3,C004,94.8
P2,A,4,C005,92.5
P2,A,5,C006,80.9
P2,A,6,C007,81.9
P2,A,7,C008,74.7
P2,A,8,C009,78.6
P2,A,9,C010,75.7
P2,A,10,C011,66.3
P2,A,11,C012,66.8
P2,A,12,C001,64.5
P2,B,1,C002,88.7
P2,B,2,C003,91.7
P2,B,3,C004,84.2
P2,B,4,C005,79.1
P2,B,5,C006,79.4
P2,B,6,C007,78.3
P2,B,7,C008,70.0
P2,B,8,C009,68.1
P2,B,9,C010,72.0
P2,B,10,C011,65.5
P2,B,11,C012,60.4
P2,B,12,C001,58.2
P2,C,1,C002,81.2
P2,C,2,C003,79.2
P2,C,3,C004,77.4
P2,C,4,C005,76.9
P2,C,5,C006,70.3
P2,C,6,C007,67.2
P2,C,7,C008,62.7
P2,C,8,C009,65.3
P2,C,9,C010,58.3
P2,C,10,C011,62.1
P2,C,11,C012,58.6
P2,C,12,C001,47.7
P2,D,1,C002,76.4
P2,D,2,C003,77.7
P2,D,3,C004,70.1
P2,D,4,C005,66.3
P2,D,5,C006,71.4
P2,D,6,C007,64.7
P2,D,7,C008,60.7
P2,D,8,C009,60.8
P2,D,9,C010,58.1
P2,D,10,C011,48.9
P2,D,11,C012,45.0
P2,D,12,C001,45.3
P2,E,1,C002,72.2
P2,E,2,C003,69.7
P2,E,3,C004,69.3
P2,E,4,C005,65.7
P2,E,5,C006,65.8
P2,E,6,C007,54.0
P2,E,7,C008,54.0
P2,E,8,C009,50.4
P2,E,9,C010,52.6
P2,E,10,C011,43.5
P2,E,11,C012,39.9
P2,E,12,C001,39.5
P2,F,1,C002,66.2
P2,F,2,C003,61.8
P2,F,3,C004,58.5
P2,F,4,C005,62.2
P2,F,5,C006,54.4
P2,F,6,C007,55.6
P2,F,7,C008,49.5
P2,F,8,C009,41.5
P2,F,9,C010,48.0
P2,F,10,C011,43.4
P2,F,11,C012,41.7
P2,F,12,C001,38.3
P2,G,1,C002,64.5
P2,G,2,C003,54.7
P2,G,3,C004,54.9
P2,G,4,C005,49.1
P2,G,5,C006,48.0
P2,G,6,C007,41.6
P2,G,7,C008,41.8
P2,G,8,C009,44.9
P2,G,9,C010,34.7
P2,G,10,C011,36.8
P2,G,11,C012,30.6
P2,G,12,C001,27.2
P2,H,1,C002,59.6
P2,H,2,C003,57.0
P2,H,3,C004,49.6
P2,H,4,C005,48.2
P2,H,5,C006,39.5
P2,H,6,C007,38.0
P2,H,7,C008,41.7
P2,H,8,C009,34.8
P2,H,9,C010,31.4
P2,H,10,C011,30.5
P2,H,11,C012,20.6
P2,H,12,C001,22.8
